"F","ACREE",2
"F","ADLY",2
"F","ADRINA",1
"F","AHTI",2
"F","ALAEDDIN",2
"F","ALAN",1
"F","ALEXANDER",2
"F","ALLAN",2
"F","ALLIANCY",2
"F","ALLISON",2
"F","ALMERTH",2
"F","ALONZO",1
"F","ALYSSA",2
"F","ANGELO",2
"F","ANGIL",2
"F","ANJI",1
"F","ANTLAS",2
"F","ANTOINE",2
"F","APRIL",1
"F","ARDRELL",2
"F","ARNOLD",2
"F","ASRAEL",2
"F","ASTIN",1
"F","AUKAMP",1
"F","AULL",1
"F","AUSTIN",4
"F","AUTWELL",1
"F","AVEDIS",2
"F","AYNN",2
"F","AYTON",1
"F","BABUR",2
"F","BACKHAUS",1
"F","BACOGEORGE",1
"F","BACOT",1
"F","BADAME",1
"F","BAHAKEL",1
"F","BAILEY",2
"F","BAKATSIAS",1
"F","BAKER",4
"F","BAKRI",2
"F","BALATSIAS",1
"F","BALLARD",1
"F","BALTZER",1
"F","BARRY",2
"F","BENJAMIN",4
"F","BENNY",2
"F","BERNITTA",2
"F","BERTIN",1
"F","BETTY",1
"F","BIADEN",2
"F","BRANDON",2
"F","BRIDGET",2
"F","BYRON",2
"F","CAMERON",1
"F","CAROL",2
"F","CATANYA",2
"F","CHAQUITA",1
"F","CHARLES",6
"F","CHHAY",2
"F","CHRISTA",1
"F","CHRISTIE",1
"F","CHRISTINE",1
"F","CHRISTOPHER",4
"F","CHRYS",2
"F","CLIFFORD",2
"F","CLYDE",2
"F","COURTNEY",2
"F","CYNTHIA",2
"F","DAMON",2
"F","DAN",2
"F","DANIEL",4
"F","DANNETTA",2
"F","DARAGH",2
"F","DARREN",1
"F","DARRICK",2
"F","DAVIS",1
"F","DEBORA",1
"F","DEBORAH",1
"F","DELMIRO",2
"F","DELORA",1
"F","DEVORALAINE",2
"F","DIANE",2
"F","DIMITRIJS",2
"F","DON",2
"F","DORE",2
"F","DOROTHY",2
"F","DOUGLAS",3
"F","DQUAYVION",1
"F","DWIGHT",2
"F","EARL",2
"F","EDNA",1
"F","EMERITA",2
"F","ERCE-NAZAR",2
"F","ERDINE",2
"F","ERICA",3
"F","ERIN",3
"F","ERNEST",1
"F","ETHAN",2
"F","EVAN",2
"F","EVON",1
"F","FAUN",2
"F","FRANK",2
"F","FRITTS",2
"F","FUA",2
"F","FURNESS",2
"F","G ARTHUR",2
"F","G R",2
"F","GABREELL",2
"F","GEOFFREY",2
"F","GEORGE",2
"F","GREGORY",4
"F","GWENSHAUNJALA",2
"F","HANNAH",1
"F","HAROLD",3
"F","HARRISON",1
"F","HARRY",2
"F","HARTIS",1
"F","HAYWOOD",2
"F","HENRY",2
"F","HOLLY",1
"F","HOWARD",3
"F","HUNTER",2
"F","IBN WALI",2
"F","IRADJ",2
"F","ISAO",2
"F","J CLARKE",2
"F","J PAUL",2
"F","JAC",2
"F","JACKALIN",2
"F","JACKLYNN",2
"F","JACKSON",2
"F","JACOB",2
"F","JAMES",7
"F","JANE",1
"F","JANET",1
"F","JARED",2
"F","JASON",3
"F","JEAN",2
"F","JEAN-LOUIS",2
"F","JEFFREY",5
"F","JENNIFER",2
"F","JERIOLYN",1
"F","JIMMY",2
"F","JOAN",2
"F","JOCELYN",1
"F","JOE",2
"F","JOEL",2
"F","JOHN",3
"F","JOHN GENTRY",1
"F","JOHNNIE",1
"F","JOHNNY",2
"F","JONATHAN",2
"F","JORENE",2
